Base potencial revisada[Producto_],Base potencial revisada[RM/REIQ],Base potencial revisada[Cultivo],Base potencial revisada[Zona.País],[SumUtilidad_potencial___M_],[SumVolumen_potencial__kL_],[Sumha_s_Total],[Sumha_s_Potencial],[AverageK_L_ha],[AverageFrec__Aplicación],Anexar14.Volumen,Vol 2022,Vol 2023
AGROMIL PLUS REACTMAXX,SAGRISA,CAFÉ,Sal,14.65125093,5.4,128000,12000,0.5,3,,,0.0%
AGROMIL PLUS REACTMAXX,SAGRISA,LEGUMINOSA,Sal,8.139583849,3,123000,10000,0.5,2,,,0.0%
AGROMIL PLUS REACTMAXX,SAGRISA,ARROZ,Sal,3.736941136,1.8,4000,3000,1,2,212,,0.0%
AGROMIL PLUS REACTMAXX,SAGRISA,PIMIENTOS,Sal,3.25583354,1.2,1000,1000,2,2,192,0.192,16.0%
AGROMIL PLUS REACTMAXX,SAGRISA,TOMATES,Sal,3.25583354,1.2,1000,1000,2,2,324,0.192,16.0%
AGROMIL V,SAGRISA,LEGUMINOSA,Sal,7.817911366,10.8,123000,18000,1,2,,,0.0%
AGROMIL V,SAGRISA,MAIZ,Sal,5.429105115,7.5,302000,25000,1,1,646,0.246,3.3%
AGROMIL V,SAGRISA,CAFÉ,Sal,5.211940911,7.2,128000,12000,1,2,,,0.0%
AGROMIL V,SAGRISA,PIMIENTOS,Sal,0.868656818,1.2,1000,1000,2,2,6,0.006,0.5%
AGROMIL V,SAGRISA,TOMATES,Sal,0.868656818,1.2,1000,1000,2,2,6,0.006,0.5%
BRX COLOR,SAGRISA,CAÑA DE AZUCAR,Sal,2.618181818,7.2,81000,12000,1,2,,,0.0%
DCS3+,SAGRISA,CAFÉ,Sal,1.941562421,10.8,128000,12000,1,3,,,0.0%
DCS3+,SAGRISA,LEGUMINOSA,Sal,1.941562421,10.8,123000,18000,1,2,,,0.0%
LPG 456 REACTMAXX,SAGRISA,LEGUMINOSA,Sal,4.857021282,10.8,123000,18000,1,2,,,0.0%
LPG 456 REACTMAXX,SAGRISA,CAÑA DE AZUCAR,Sal,4.591257073,12,81000,20000,1,2,,,0.0%
LPG 456 REACTMAXX,SAGRISA,MAIZ,Sal,3.372931446,7.5,302000,25000,1,1,,,0.0%
LPG 456 REACTMAXX,SAGRISA,CAFÉ,Sal,3.238014188,7.2,128000,12000,1,2,2008,0.908,12.6%
LPG 456 REACTMAXX,SAGRISA,CAFÉ,Sal,3.238014188,7.2,128000,12000,1,2,2700,0.908,12.6%
LPG 456 REACTMAXX,SAGRISA,ARROZ,Sal,0.688688561,1.8,4000,3000,1,2,300,,0.0%
LPG 456 REACTMAXX,SAGRISA,ARROZ,Sal,0.688688561,1.8,4000,3000,1,2,2004,,0.0%
LPG 456 REACTMAXX,SAGRISA,PIMIENTOS,Sal,0.539669031,1.2,1000,1000,2,2,,,0.0%
LPG 456 REACTMAXX,SAGRISA,TOMATES,Sal,0.539669031,1.2,1000,1000,2,2,,,0.0%
QUERKUS SMARTSELECT,SAGRISA,LEGUMINOSA,Sal,9.926034558,21.6,123000,18000,2,2,,,0.0%
QUERKUS SMARTSELECT,SAGRISA,CAÑA DE AZUCAR,Sal,7.253423527,12,81000,20000,2,1,,,0.0%
QUERKUS SMARTSELECT,SAGRISA,CAFÉ,Sal,6.617356372,14.4,128000,12000,2,2,,,0.0%
QUERKUS SMARTSELECT,SAGRISA,MAIZ,Sal,3.446539777,7.5,302000,25000,1,1,,,0.0%
QUERKUS SMARTSELECT,SAGRISA,PIMIENTOS,Sal,0.551446364,1.2,1000,1000,2,2,24,0.024,2.0%
QUERKUS SMARTSELECT,SAGRISA,TOMATES,Sal,0.551446364,1.2,1000,1000,2,2,24,0.024,2.0%
ROOTING SMARTSELECT,SAGRISA,CAFÉ,Sal,12.11016842,14.4,128000,12000,2,2,1008,0.708,4.9%
ROOTING SMARTSELECT,SAGRISA,LEGUMINOSA,Sal,9.082626313,10.8,123000,18000,1,2,,,0.0%
ROOTING SMARTSELECT,SAGRISA,CAÑA DE AZUCAR,Sal,4.358191071,4.8,81000,8000,1,2,500,0.2,4.2%
ROOTING SMARTSELECT,SAGRISA,PIMIENTOS,Sal,1.009180701,1.2,1000,1000,2,2,54,0.054,4.5%
ROOTING SMARTSELECT,SAGRISA,TOMATES,Sal,1.009180701,1.2,1000,1000,2,2,610,0.21,17.5%
ROOTING SMARTSELECT,SAGRISA,ARROZ,Sal,0.817160826,0.9,4000,3000,1,1,450,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,CÍTRICOS,Mx,0.121113477,0.1575,7000,3500,0.05,3,103,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,CHILES PICOSOS,Mx,0.036910774,0.048,600,400,0.1,4,7,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,MELONES,Mx,0.028836542,0.0375,7000,2500,0.05,1,,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,PAPAYA,Mx,0.023069234,0.03,5000,2000,0.05,1,,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,SANDIAS,Mx,0.00692077,0.009,1200,600,0.05,1,75,,0.0%
ACIGGIB ADSTRONG,SERCO VERDE,TOMATES,Mx,0.002768308,0.0036,1200,600,0.01,2,,,0.0%
AGROMIL PLUS REACTMAXX,SERCO VERDE,MANGO,Mx,18.78552185,18,25000,10000,3,2,2749,0.526,2.9%
AGROMIL PLUS REACTMAXX,SERCO VERDE,AGAVE,Mx,7.514208738,7.2,35000,15000,0.8,2,1051,,0.0%
AGROMIL PLUS REACTMAXX,SERCO VERDE,CÍTRICOS,Mx,4.383288431,4.2,7000,3500,2,2,871,0.435,10.4%
AGROMIL PLUS REACTMAXX,SERCO VERDE,MELONES,Mx,2.348190231,2.25,7000,5000,0.5,3,65,0.036,1.6%
AGROMIL PLUS REACTMAXX,SERCO VERDE,TOMATES,Mx,0.733424601,0.648,1200,900,0.8,3,3007,1.365,210.6%
AGROMIL PLUS REACTMAXX,SERCO VERDE,SANDIAS,Mx,0.438328843,0.42,1200,1000,0.7,2,137,0.036,8.6%
AGROMIL PLUS REACTMAXX,SERCO VERDE,CHILES PICOSOS,Mx,0.281782828,0.27,600,600,0.5,3,1358,0.814,301.5%
AGROMIL V,SERCO VERDE,MANGO,Mx,2.654826139,9,25000,10000,1,3,4654,2.685,29.8%
AGROMIL V,SERCO VERDE,CÍTRICOS,Mx,0.796447842,2.7,7000,3000,1,3,423,0.249,9.2%
AGROMIL V,SERCO VERDE,PAPAYA,Mx,0.796447842,2.7,5000,3000,1,3,546,0.189,7.0%
AGROMIL V,SERCO VERDE,MELONES,Mx,0.530965228,1.8,7000,3000,1,2,118,0.036,2.0%
AGROMIL V,SERCO VERDE,SANDIAS,Mx,0.159289568,0.54,1200,900,1,2,170,0.126,23.3%
AGROMIL V,SERCO VERDE,TOMATES,Mx,0.159289568,0.54,1200,900,1,2,1149,0.555,102.8%
AGROMIL V,SERCO VERDE,CHILES PICOSOS,Mx,0.053096523,0.18,600,300,1,2,219,0.144,80.0%
AV5G BIOACTIVE,SERCO VERDE,AGAVE,Mx,13.09446517,9,35000,15000,1,2,,,0.0%
AV5G BIOACTIVE,SERCO VERDE,MELONES,Mx,4.364821724,3,7000,5000,1,2,,,0.0%
AV5G BIOACTIVE,SERCO VERDE,CÍTRICOS,Mx,3.928339552,2.7,7000,3000,1,3,,,0.0%
BRX COLOR,SERCO VERDE,MELONES,Mx,0.218181818,0.6,7000,1000,1,2,,,0.0%
BRX COLOR,SERCO VERDE,TOMATES,Mx,0.065454545,0.18,1200,300,1,2,,,0.0%
JUNIPERUS STRESSOFF,SERCO VERDE,MELONES,Mx,3.472020881,18,7000,5000,2,6,54,0.006,0.0%
JUNIPERUS STRESSOFF,SERCO VERDE,AGAVE,Mx,1.73601044,9,35000,15000,1,2,983,0.22,2.4%
JUNIPERUS STRESSOFF,SERCO VERDE,CÍTRICOS,Mx,1.73601044,9,7000,5000,2,3,36,,0.0%
JUNIPERUS STRESSOFF,SERCO VERDE,MANGO,Mx,1.157340294,6,25000,10000,1,2,632,0.131,2.2%
JUNIPERUS STRESSOFF,SERCO VERDE,PAPAYA,Mx,0.347202088,1.8,5000,3000,2,1,1586,0.083,4.6%
JUNIPERUS STRESSOFF,SERCO VERDE,TOMATES,Mx,0.312481879,1.62,1200,900,2,3,1549,0.403,24.9%
JUNIPERUS STRESSOFF,SERCO VERDE,SANDIAS,Mx,0.162027641,0.84,1200,700,2,2,168,0.006,0.7%
JUNIPERUS STRESSOFF,SERCO VERDE,CHILES PICOSOS,Mx,0.052080313,0.27,600,300,1,3,405,0.22,81.5%
QUERKUS SMARTSELECT,SERCO VERDE,MELONES,Mx,0.638323488,6,7000,5000,2,2,960,0.06,1.0%
QUERKUS SMARTSELECT,SERCO VERDE,PAPAYA,Mx,0.255329395,2.4,5000,2000,2,2,1200,,0.0%
QUERKUS SMARTSELECT,SERCO VERDE,TOMATES,Mx,0.114898228,1.08,1200,900,2,2,708,0.108,10.0%
QUERKUS SMARTSELECT,SERCO VERDE,CHILES PICOSOS,Mx,0.038299409,0.36,600,300,2,2,72,0.072,20.0%
QUERKUS SMARTSELECT,SERCO VERDE,SANDIAS,Mx,0.038299409,0.36,1200,600,2,1,60,0.06,16.7%
ROOTING ADSTRONG,SERCO VERDE,PAPAYA,Mx,0.753444332,1.8,5000,3000,1,2,1748,0.476,26.4%
ROOTING ADSTRONG,SERCO VERDE,MELONES,Mx,0.627870277,1.5,7000,2500,1,2,1240,0.18,12.0%
ROOTING ADSTRONG,SERCO VERDE,CHILES PICOSOS,Mx,0.150688866,0.36,600,400,1.5,2,1190,0.632,175.6%
ROOTING ADSTRONG,SERCO VERDE,SANDIAS,Mx,0.150688866,0.36,1200,600,1,2,404,0.193,53.6%
ROOTING ADSTRONG,SERCO VERDE,TOMATES,Mx,0.11301665,0.27,1200,450,1,2,1604,0.864,320.0%
ROOTING SMARTSELECT,SERCO VERDE,MELONES,Mx,0.595479188,1.5,7000,2500,1,2,1346,0.09,6.0%
ROOTING SMARTSELECT,SERCO VERDE,CHILES PICOSOS,Mx,0.19055334,0.48,600,400,2,2,1864,1.353,281.9%
ROOTING SMARTSELECT,SERCO VERDE,TOMATES,Mx,0.160779381,0.405,1200,450,1.5,2,6876,2.756,680.5%
ROOTING SMARTSELECT,SERCO VERDE,SANDIAS,Mx,0.142915005,0.36,1200,600,1,2,432,0.158,43.9%
AGROMIL PLUS REACTMAXX,TATTERSAL,CEREZOS,Chile,20.52894212,13.5,50000,10000,1.5,3,,,0.0%
AGROMIL PLUS REACTMAXX,TATTERSAL,NOGAL,Chile,19.12646529,12.6,33500,7000,2,3,3750,0.75,6.0%
AGROMIL PLUS REACTMAXX,TATTERSAL,CÍTRICOS,Chile,12.29558483,8.1,13500,4500,6,1,,,0.0%
AGROMIL PLUS REACTMAXX,TATTERSAL,ARÁNDANOS,Chile,10.92940874,7.2,14500,8000,1,3,1500,,0.0%
AGROMIL PLUS REACTMAXX,TATTERSAL,VIDES DE MESA,Chile,5.9200964,3.9,12960,6500,1,2,28606,5.5,141.0%
AGROMIL PLUS REACTMAXX,TATTERSAL,VIDES DE MESA,Chile,4.553920308,3,8077,5000,1,2,28606,5.5,183.3%
AGROMIL PLUS REACTMAXX,TATTERSAL,VIDES DE MESA,Chile,3.643136246,2.4,16963,8000,0.5,2,28606,5.5,229.2%
AGROMIL PLUS REACTMAXX,TATTERSAL,VIDES DE MESA,Chile,3.187744215,2.1,7000,3500,1,2,28606,5.5,261.9%
AGROMIL PLUS REACTMAXX,TATTERSAL,KIWI,Chile,1.457254498,0.96,4000,1600,1,2,3012,0.75,78.1%
AV5G BIOACTIVE,TATTERSAL,CEREZOS,Chile,44.89209448,60,50000,50000,2,2,202,,0.0%
AV5G BIOACTIVE,TATTERSAL,VIDES DE MESA,Chile,8.978418897,12,48000,20000,1,2,1541,,0.0%
BRX COLOR,TATTERSAL,CEREZOS,Chile,4.363636364,12,50000,20000,1,2,,,0.0%
BRX COLOR,TATTERSAL,ARÁNDANOS,Chile,2.181818182,6,14500,10000,1,2,,,0.0%
CREZYMAX BIOACTIVE,TATTERSAL,ARÁNDANOS,Chile,4.3743771,13.9995,15707,9333,1,5,,,0.0%
JUNIPERUS STRESSOFF,TATTERSAL,CEREZOS,Chile,8.002961175,24,50000,20000,2,2,,,0.0%
JUNIPERUS STRESSOFF,TATTERSAL,NOGAL,Chile,6.602442969,19.8,33500,16500,2,2,,,0.0%
JUNIPERUS STRESSOFF,TATTERSAL,CÍTRICOS,Chile,3.00111044,9,13500,10000,3,1,9552,2.596,28.8%
JUNIPERUS STRESSOFF,TATTERSAL,TOMATES,Chile,0.600222088,1.8,4000,3000,1,2,,,0.0%
LPG 456 REACTMAXX,TATTERSAL,NOGAL,Chile,8.954278527,29.7,33500,16500,3,2,,,0.0%
LPG 456 REACTMAXX,TATTERSAL,CÍTRICOS,Chile,5.788624502,19.2,13500,8000,8,1,,,0.0%
LPG 456 REACTMAXX,TATTERSAL,KIWI,Chile,0.57886245,1.92,4000,1600,2,2,,,0.0%
QUERKUS SMARTSELECT,TATTERSAL,VIDES DE MESA,Chile,21.57674093,36,48000,20000,3,2,9836,3.06,8.5%
QUERKUS SMARTSELECT,TATTERSAL,CEREZOS,Chile,14.38449395,24,50000,20000,2,2,15138,8.48,35.3%
QUERKUS SMARTSELECT,TATTERSAL,NOGAL,Chile,8.900405634,14.85,33500,16500,3,1,378,,0.0%
QUERKUS SMARTSELECT,TATTERSAL,AVELLANO,Chile,8.091277849,13.5,17000,15000,3,1,378,,0.0%
QUERKUS SMARTSELECT,TATTERSAL,CÍTRICOS,Chile,5.394185233,9,13500,10000,3,1,873,0.396,4.4%
ROOTING ADSTRONG,TATTERSAL,VIDES DE MESA,Chile,28.13045769,27,48000,15000,3,2,1776,0.15,0.6%
ACIGGIB ADSTRONG,TEKQUIMIK,BANANO,Ecu,2.404440566,13.5,260000,150000,0.3,1,1721,,0.0%
AGROMIL PLUS REACTMAXX,TEKQUIMIK,CACAO,Ecu,37.15210018,18,300000,40000,0.5,3,36,0.036,0.2%
AGROMIL PLUS REACTMAXX,TEKQUIMIK,BANANO,Ecu,18.57605009,9,260000,30000,0.5,2,108,0.108,1.2%
AGROMIL PLUS REACTMAXX,TEKQUIMIK,ARROZ,Ecu,9.288025045,4.5,150000,15000,0.5,2,36,0.036,0.8%
AGROMIL PLUS REACTMAXX,TEKQUIMIK,FLORES DE CORTE,Ecu,2.539754824,1.2,2500,2000,1,2,48,0.036,3.0%
AGROMIL V,TEKQUIMIK,BANANO,Ecu,27.14552558,37.5,260000,100000,0.25,5,1000,,0.0%
AGROMIL V,TEKQUIMIK,MAIZ,Ecu,17.37313637,24,200000,80000,1,1,,,0.0%
AGROMIL V,TEKQUIMIK,ARROZ,Ecu,10.85821023,15,150000,50000,1,1,,,0.0%
AGROMIL V,TEKQUIMIK,FLORES DE CORTE,Ecu,1.302985228,1.8,2500,2000,1,3,300,,0.0%
AV5G BIOACTIVE,TEKQUIMIK,CACAO,Ecu,13.38002362,15,300000,100000,0.5,1,36,0.036,0.2%
AV5G BIOACTIVE,TEKQUIMIK,ARROZ,Ecu,8.028014172,9,150000,30000,0.5,2,24,0.024,0.3%
AV5G BIOACTIVE,TEKQUIMIK,SANDIAS,Ecu,0.669001181,0.75,3000,2500,0.5,2,,,0.0%
AV5G BIOACTIVE,TEKQUIMIK,FLORES DE CORTE,Ecu,0.535200945,0.6,2500,2000,1,1,120,,0.0%
JUNIPERUS STRESSOFF,TEKQUIMIK,MAIZ,Ecu,8.830161175,24,200000,80000,1,1,,,0.0%
JUNIPERUS STRESSOFF,TEKQUIMIK,ARROZ,Ecu,5.518850734,15,150000,50000,1,1,,,0.0%
JUNIPERUS STRESSOFF,TEKQUIMIK,FLORES DE CORTE,Ecu,0.441508059,1.2,2500,2000,1,2,,,0.0%
LPG 456 REACTMAXX,TEKQUIMIK,CACAO,Ecu,29.46345157,60,300000,100000,1,2,,,0.0%
LPG 456 REACTMAXX,TEKQUIMIK,MAIZ,Ecu,14.73172578,30,200000,100000,1,1,,,0.0%
LPG 456 REACTMAXX,TEKQUIMIK,ARROZ,Ecu,11.78538063,24,150000,40000,1,2,160,,0.0%
LPG 456 REACTMAXX,TEKQUIMIK,FLORES DE CORTE,Ecu,1.178538063,2.4,2500,2000,2,2,80,,0.0%
LPG 456 REACTMAXX,TEKQUIMIK,SANDIAS,Ecu,0.736586289,1.5,3000,2500,1,2,,,0.0%
ROOTING ADSTRONG,TEKQUIMIK,BANANO,Ecu,42.1611083,45,260000,50000,3,1,4836,,0.0%
ROOTING ADSTRONG,TEKQUIMIK,ARROZ,Ecu,14.05370277,15,150000,50000,1,1,36,0.036,0.2%
ROOTING ADSTRONG,TEKQUIMIK,FLORES DE CORTE,Ecu,1.124296221,1.2,2500,2000,2,1,380,,0.0%
ROOTING ADSTRONG,TEKQUIMIK,PITAHAYA,Ecu,0.421611083,0.45,2000,1500,1,1,48,0.048,10.7%
AGROMIL V,TQC,AGUACATES,Perú,15.01896113,30,39500,25000,2,2,,,0.0%
AGROMIL V,TQC,PAPA,Perú,12.0151689,24,310400,40000,1,2,,,0.0%
AGROMIL V,TQC,VIDES DE MESA,Perú,6.007584452,12,33200,20000,1,2,,,0.0%
AV5G BIOACTIVE,TQC,VIDES DE MESA,Perú,22.08701223,24,33200,20000,2,2,,,0.0%
JUNIPERUS STRESSOFF,TQC,VIDES DE MESA,Perú,11.14720743,24,33200,20000,2,2,,,0.0%
QUERKUS SMARTSELECT,TQC,VIDES DE MESA,Perú,14.21297122,24,33200,20000,2,2,,,0.0%
DCS3+,TXAO,LEGUMINOSA,Mx,16.24628766,89.1,330000,99000,1,3,,,0.0%
DCS3+,TXAO,CÍTRICOS,Mx,13.80821211,54,201635,60000,1,3,,,0.0%
DCS3+,TXAO,AGUACATES,Mx,8.054790396,31.5,239083,35000,1,3,1462,0.454,1.4%
DCS3+,TXAO,PAPA,Mx,2.855408133,15.66,58000,17400,1,3,,,0.0%
DCS3+,TXAO,PIÑA,Mx,1.132317018,6.21,23000,6900,1,3,,,0.0%
JUNIPERUS STRESSOFF,TXAO,PIÑA,Mx,4.10302653,12.42,23000,6900,2,3,38,,0.0%
LPG 456 REACTMAXX,TXAO,MAIZ,Mx,34.16480566,232.5,3350000,775000,1,1,12671,2.236,1.0%
LPG 456 REACTMAXX,TXAO,AGUACATES,Mx,17.01217735,90,239083,50000,3,2,,,0.0%
LPG 456 REACTMAXX,TXAO,LEGUMINOSA,Mx,14.54759467,99,330000,165000,1,2,,,0.0%
LPG 456 REACTMAXX,TXAO,PAPA,Mx,3.835274958,26.1,58000,29000,1,3,287,,0.0%
LPG 456 REACTMAXX,TXAO,PIÑA,Mx,3.041769795,20.7,23000,6900,5,2,,,0.0%
QUERKUS SMARTSELECT,TXAO,CÍTRICOS,Mx,16.31793822,108,201635,60000,3,2,,,0.0%
QUERKUS SMARTSELECT,TXAO,LEGUMINOSA,Mx,7.479055016,49.5,330000,165000,1,1,,,0.0%
QUERKUS SMARTSELECT,TXAO,CAÑA DE AZUCAR,Mx,3.389133693,31.041,798687,34490,3,1,,,0.0%
QUERKUS SMARTSELECT,TXAO,PAPA,Mx,2.629001157,17.4,58000,29000,1,2,,,0.0%
VIGOFORT ULTRA,TXAO,CÍTRICOS,Mx,79.3346721,72,201635,60000,2,2,477,0.09,0.1%
VIGOFORT ULTRA,TXAO,AGUACATES,Mx,49.58417006,45,239083,50000,1.5,2,1334,0.48,1.1%
VIGOFORT ULTRA,TXAO,SOYAS,Mx,4.558438035,4.137,116724,27580,0.5,1,,,0.0%
ACIGGIB ADSTRONG,WOLVERAGRO,BANANO,Rep D,9.871015814,2.63925,21250,4250,2.07,1,47,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,TOMATES,Rep D,8.973501582,2.8512,6600,3960,0.8,3,,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,CHILES PICOSOS,Rep D,3.39905363,1.08,4800,2400,0.5,3,,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,PAPA,Rep D,2.237710306,0.711,7900,2370,1,1,,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,AGUACATES,Rep D,1.556069635,0.528,17600,1760,0.5,2,,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,CUCURBITACEAS,Rep D,0.509858044,0.162,600,360,0.5,3,,,0.0%
AGROMIL PLUS REACTMAXX,WOLVERAGRO,CAFÉ,Rep D,0.356192495,0.113175,5030,754,0.5,1,,,0.0%
AGROMIL V,WOLVERAGRO,BANANO,Rep D,1.228276741,1.9125,21250,4250,0.3,5,774,,0.0%
AV5G BIOACTIVE,WOLVERAGRO,TOMATES,Rep D,1.440391169,0.99,6600,1650,1,2,,,0.0%
AV5G BIOACTIVE,WOLVERAGRO,CHILES PICOSOS,Rep D,1.318419335,0.864,4800,1440,1,2,,,0.0%
DCS3+,WOLVERAGRO,CHILES PICOSOS,Rep D,0.172537087,0.72,4800,2400,0.5,2,,,0.0%
LPG 456 REACTMAXX,WOLVERAGRO,ARROZ,Rep D,4.918230144,7.8,130000,13000,1,2,204,,0.0%
LPG 456 REACTMAXX,WOLVERAGRO,TOMATES,Rep D,2.887806995,4.752,6600,3960,1,4,,,0.0%
LPG 456 REACTMAXX,WOLVERAGRO,CHILES PICOSOS,Rep D,1.750186057,2.88,4800,2400,1,4,,,0.0%
LPG 456 REACTMAXX,WOLVERAGRO,MAIZ,Rep D,1.406055724,2.31372,25708,7712,1,1,204,,0.0%
LPG 456 REACTMAXX,WOLVERAGRO,CEBOLLA,Rep D,0.625326893,1.029,9800,3430,1,1,,,0.0%
QUERKUS SMARTSELECT,WOLVERAGRO,CEBOLLA,Rep D,1.030026558,2.94,9800,4900,2,1,,,0.0%
QUERKUS SMARTSELECT,WOLVERAGRO,BANANO,Rep D,0.99367503,3.825,21250,4250,3,1,,,0.0%
ROOTING SMARTSELECT,WOLVERAGRO,TOMATES,Rep D,3.344825565,3.564,6600,3960,1.5,2,,,0.0%
ROOTING SMARTSELECT,WOLVERAGRO,CHILES PICOSOS,Rep D,2.702889346,2.88,4800,2400,2,2,,,0.0%
ROOTING SMARTSELECT,WOLVERAGRO,PAPA,Rep D,1.334551614,1.422,7900,4740,1,1,,,0.0%
ROOTING SMARTSELECT,WOLVERAGRO,CAFÉ,Rep D,0.708100698,0.7545,5030,2515,1,1,,,0.0%
